"colony_name","colony_size","colony_size_min","colony_size_max","latitude","longitude"
"Tay Head (Joinville Island)",4156,4156,17500,-55.5508,-63.3486
"Tenmondai Rock",86,86,96,41.701,-68.4445
"Thorgaut",917,917,5000,63.5433,-67.4425
"Torgersen Island",8528,8483,8750,-64.0741,-64.7731
"Torinosu Cove",45,45,220,39.5667,-69.4833
"Trundle Island",347,347,347,-65.2885,-65.3938
"Tryne Islands",13789,13789,13789,78.4125,-68.3809
"Three Sisters",472,438,6202,-57.9135,-62.0779
"Turret Point (King George Island)",153,102,246,-57.9514,-62.0875
"Ufs Island",1942,1942,2300,61.1406,-67.4694
"Unnnamed Island PE 2",40,40,40,77.736,-68.9012
"Unnnamed Island PE 3",123,123,123,78.211,-68.4419
"Unnamed Island PE 2 North",6893,6893,6893,77.7162,-68.9013
"Unger Island (Unger Rock)",305,107,305,166.919,-70.6811
"Unnamed 2",0,0,0,63.5435,-67.4402
"Unnamed 7",5669,5669,5669,63.3336,-67.4475
"Vestfold North",45497,45497,61739,78.0954,-68.4842
"Vestfold South",101297,101297,132049,77.9227,-68.5883
"Vieugue Island",360,360,600,-65.2144,-65.6682
"Vortex Island",2665,2665,4319,-57.6415,-63.7257
"Cape Waites",546,546,546,-103.451,-72.713
"Watt Bay",2797,2797,2797,144.2854,-66.9949
"Way Archipelago",5997,5997,5997,143.5895,-66.8571
"Weddell Island",28507,28507,28507,-44.8479,-60.6359
"Weller Island",4,4,4,-65.3817,-65.4453
"Cape Wheatstone",2037,1513,5847,170.2024,-72.6217
"Blakeney/Whitney",10821,3795,10821,110.5573,-66.2457
"Wideopen Islands",100,100,100,-55.8492,-63.0042
"Winkle Island (two islets next to Winkle Island)",32,32,32,-65.686,-65.52
"Wood Bay",2292,1300,2491,165.1332,-74.3299
"Worley Point",10481,10481,10481,-132.777,-74.4057
"Watson Peninsula (east coast)",4653,392,4653,-44.5436,-60.6761
"Wyatt Earp Islands",1028,1028,1028,78.5385,-68.3569
"Yalour Islands",2809,2555,5865,-64.1564,-65.2389
"Ytrehovdeholmen",102,24,122,39.4333,-69.2167
